iter	Passed	Remaining
0	1	107
1	1	97
2	2	92
3	3	85
4	4	83
5	5	81
6	6	80
7	7	80
8	7	79
9	8	78
10	9	77
11	10	76
12	11	75
13	12	74
14	12	73
15	13	72
16	14	71
17	15	70
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	50
41	35	48
42	36	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	34
58	49	34
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	58	24
70	59	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	14
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
